Name,Title
"Salkjelsvik, Miss. Anna Kristine",Miss.
"Moss, Mr. Albert Johan",Mr.
"Rekic, Mr. Tido",Mr.
"Moran, Miss. Bertha",Miss.
"Porter, Mr. Walter Chamberlain",Mr.
"Zabour, Miss. Hileni",Miss.
"Barton, Mr. David John",Mr.
"Jussila, Miss. Katriina",Miss.
"Attalah, Miss. Malake",Miss.
"Pekoniemi, Mr. Edvard",Mr.
"Connors, Mr. Patrick",Mr.
"Turpin, Mr. William John Robert",Mr.
"Baxter, Mr. Quigg Edmond",Mr.
"Andersson, Miss. Ellis Anna Maria",Miss.
"Hickman, Mr. Stanley George",Mr.
"Moore, Mr. Leonard Charles",Mr.
"Nasser, Mr. Nicholas",Mr.
"Webber, Miss. Susan",Miss.
"White, Mr. Percival Wayland",Mr.
"McMahon, Mr. Martin",Mr.
"Madsen, Mr. Fridtjof Arne",Mr.
"Peter, Miss. Anna",Miss.
"Ekstrom, Mr. Johan",Mr.
"Drazenoic, Mr. Jozef",Mr.
"Coelho, Mr. Domingos Fernandeo",Mr.
"Robins, Mrs. Alexander A (Grace Charity Laury)",Mrs.
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Mrs.
"Sobey, Mr. Samuel James Hayden",Mr.
"Richard, Mr. Emile",Mr.
"Newsom, Miss. Helen Monypeny",Miss.
"Futrelle, Mr. Jacques Heath",Mr.
"Osen, Mr. Olaf Elon",Mr.
"Giglio, Mr. Victor",Mr.
"Boulos, Mrs. Joseph (Sultana)",Mrs.
"Nysten, Miss. Anna Sofia",Miss.
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Mrs.
"Burke, Mr. Jeremiah",Mr.
"Andrew, Mr. Edgardo Samuel",Mr.
"Nicholls, Mr. Joseph Charles",Mr.
"Andersson, Mr. August Edvard (""Wennerstrom"")",Mr.
"Ford, Miss. Robina Maggie ""Ruby""",Miss.
"Navratil, Mr. Michel (""Louis M Hoffman"")",Mr.
"Pears, Mrs. Thomas (Edith Wearne)",Mrs.
"Meo, Mr. Alfonzo",Mr.
"van Billiard, Mr. Austin Blyler",Mr.
"Olsen, Mr. Ole Martin",Mr.
"Williams, Mr. Charles Duane",Mr.
"Gilnagh, Miss. Katherine ""Katie""",Miss.
"Corn, Mr. Harry",Mr.
"Smiljanic, Mr. Mile",Mr.
"Cribb, Mr. John Hatfield",Mr.
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Mrs.
"Bengtsson, Mr. John Viktor",Mr.
"Calic, Mr. Jovo",Mr.
"Chibnall, Mrs. (Edith Martha Bowerman)",Mrs.
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Mrs.
"Baumann, Mr. John D",Mr.
"Ling, Mr. Lee",Mr.
"Van der hoef, Mr. Wyckoff",Mr.
"Johnson, Miss. Eleanor Ileen",Miss.
"Sivola, Mr. Antti Wilhelm",Mr.
"Smith, Mr. James Clinch",Mr.
"Klasen, Mr. Klas Albin",Mr.
"Isham, Miss. Ann Elizabeth",Miss.
"Hale, Mr. Reginald",Mr.
"Leonard, Mr. Lionel",Mr.
"Sage, Miss. Constance Gladys",Miss.
"Pernot, Mr. Rene",Mr.
"Kink-Heilmann, Miss. Luise Gretchen",Miss.
"Rood, Mr. Hugh Roscoe",Mr.
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Mrs.
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Mr.
"Bourke, Mr. John",Mr.
"Turcin, Mr. Stjepan",Mr.
"Pinsky, Mrs. (Rosa)",Mrs.
"Carbines, Mr. William",Mr.
"Andersen-Jensen, Miss. Carla Christine Nielsine",Miss.
"Brown, Mrs. James Joseph (Margaret Tobin)",Mrs.
"Lurette, Miss. Elise",Miss.
"Mernagh, Mr. Robert",Mr.
"Olsen, Mr. Karl Siegwart Andreas",Mr.
"Madigan, Miss. Margaret ""Maggie""",Miss.
"Yrois, Miss. Henriette (""Mrs Harbeck"")",Miss.
"Vande Walle, Mr. Nestor Cyriel",Mr.
"Sage, Mr. Frederick",Mr.
"Johanson, Mr. Jakob Alfred",Mr.
"Youseff, Mr. Gerious",Mr.
"Cohen, Mr. Gurshon ""Gus""",Mr.
"Strom, Miss. Telma Matilda",Miss.
"Backstrom, Mr. Karl Alfred",Mr.
"Albimona, Mr. Nassef Cassem",Mr.
"Carr, Miss. Helen ""Ellen""",Miss.
"Blank, Mr. Henry",Mr.
"Ali, Mr. Ahmed",Mr.
"Cameron, Miss. Clear Annie",Miss.
"Perkin, Mr. John Henry",Mr.
"Givard, Mr. Hans Kristensen",Mr.
"Kiernan, Mr. Philip",Mr.
"Newell, Miss. Madeleine",Miss.
"Honkanen, Miss. Eliina",Miss.
"Jacobsohn, Mr. Sidney Samuel",Mr.
"Bazzani, Miss. Albina",Miss.
"Harris, Mr. Walter",Mr.
"Sunderland, Mr. Victor Francis",Mr.
"Bracken, Mr. James H",Mr.
"Green, Mr. George Henry",Mr.
"Nenkoff, Mr. Christo",Mr.
"Hoyt, Mr. Frederick Maxfield",Mr.
"Berglund, Mr. Karl Ivar Sven",Mr.
"Mellors, Mr. William John",Mr.
"Lovell, Mr. John Hall (""Henry"")",Mr.
"Fahlstrom, Mr. Arne Jonas",Mr.
"Lefebre, Miss. Mathilde",Miss.
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Mrs.
"Larsson, Mr. Bengt Edvin",Mr.
"Sjostedt, Mr. Ernst Adolf",Mr.
"Asplund, Miss. Lillian Gertrud",Miss.
"Leyson, Mr. Robert William Norman",Mr.
"Harknett, Miss. Alice Phoebe",Miss.
"Hold, Mr. Stephen",Mr.
"Collyer, Miss. Marjorie ""Lottie""",Miss.
"Pengelly, Mr. Frederick William",Mr.
"Hunt, Mr. George Henry",Mr.
"Zabour, Miss. Thamine",Miss.
"Murphy, Miss. Katherine ""Kate""",Miss.
"Coleridge, Mr. Reginald Charles",Mr.
"Maenpaa, Mr. Matti Alexanteri",Mr.
"Attalah, Mr. Sleiman",Mr.
"Lindahl, Miss. Agda Thorilda Viktoria",Miss.
"Hamalainen, Mrs. William (Anna)",Mrs.
"Beckwith, Mr. Richard Leonard",Mr.
"Reed, Mr. James George",Mr.
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",Mrs.
"Stead, Mr. William Thomas",Mr.
"Lobb, Mr. William Arthur",Mr.
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",Mrs.
"Touma, Mrs. Darwis (Hanne Youssef Razi)",Mrs.
"Thorne, Mrs. Gertrude Maybelle",Mrs.
"Cherry, Miss. Gladys",Miss.
"Ward, Miss. Anna",Miss.
"Parrish, Mrs. (Lutie Davis)",Mrs.
"Smith, Mr. Thomas",Mr.
"Taussig, Mr. Emil",Mr.
"Harrison, Mr. William",Mr.
"Henry, Miss. Delia",Miss.
"Reeves, Mr. David",Mr.
"Panula, Mr. Ernesti Arvid",Mr.
"Persson, Mr. Ernst Ulrik",Mr.
"Graham, Mrs. William Thompson (Edith Junkins)",Mrs.
"Bissette, Miss. Amelia",Miss.
"Cairns, Mr. Alexander",Mr.
"Tornquist, Mr. William Henry",Mr.
"Mellinger, Mrs. (Elizabeth Anne Maidment)",Mrs.
"Natsch, Mr. Charles H",Mr.
"Healy, Miss. Hanora ""Nora""",Miss.
"Andrews, Miss. Kornelia Theodosia",Miss.
"Lindblom, Miss. Augusta Charlotta",Miss.
"Parkes, Mr. Francis ""Frank""",Mr.
"Abbott, Mrs. Stanton (Rosa Hunt)",Mrs.
"Duane, Mr. Frank",Mr.
"Olsson, Mr. Nils Johan Goransson",Mr.
"de Pelsmaeker, Mr. Alfons",Mr.
"Dorking, Mr. Edward Arthur",Mr.
"Smith, Mr. Richard William",Mr.
"Stankovic, Mr. Ivan",Mr.
"de Mulder, Mr. Theodore",Mr.
"Naidenoff, Mr. Penko",Mr.
"Hosono, Mr. Masabumi",Mr.
"Connolly, Miss. Kate",Miss.
"Barber, Miss. Ellen ""Nellie""",Miss.
"Bishop, Mrs. Dickinson H (Helen Walton)",Mrs.
"Levy, Mr. Rene Jacques",Mr.
"Haas, Miss. Aloisia",Miss.
"Mineff, Mr. Ivan",Mr.
"Lewy, Mr. Ervin G",Mr.
"Hanna, Mr. Mansour",Mr.
"Allison, Miss. Helen Loraine",Miss.
"Saalfeld, Mr. Adolphe",Mr.
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Mrs.
"Kelly, Miss. Anna Katherine ""Annie Kate""",Miss.
"McCoy, Mr. Bernard",Mr.
"Johnson, Mr. William Cahoone Jr",Mr.
"Keane, Miss. Nora A",Miss.
"Williams, Mr. Howard Hugh ""Harry""",Mr.
"Fleming, Miss. Margaret",Miss.
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",Mrs.
"Abelson, Mr. Samuel",Mr.
"Francatelli, Miss. Laura Mabel",Miss.
"Hays, Miss. Margaret Bechstein",Miss.
"Ryerson, Miss. Emily Borie",Miss.
"Lahtinen, Mrs. William (Anna Sylfven)",Mrs.
"Hendekovic, Mr. Ignjac",Mr.
"Hart, Mr. Benjamin",Mr.
"Nilsson, Miss. Helmina Josefina",Miss.
"Kantor, Mrs. Sinai (Miriam Sternin)",Mrs.
"Wick, Miss. Mary Natalie",Miss.
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",Mrs.
"Dennis, Mr. Samuel",Mr.
"Danoff, Mr. Yoto",Mr.
"Slayter, Miss. Hilda Mary",Miss.
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",Mrs.
"Sage, Mr. George John Jr",Mr.
"Young, Miss. Marie Grice",Miss.
"Nysveen, Mr. Johan Hansen",Mr.
"Ball, Mrs. (Ada E Hall)",Mrs.
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",Mrs.
"Hippach, Miss. Jean Gertrude",Miss.
"McCoy, Miss. Agnes",Miss.
"Partner, Mr. Austen",Mr.
"Graham, Mr. George Edward",Mr.
"Vander Planke, Mr. Leo Edmondus",Mr.
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Mrs.
"Denkoff, Mr. Mitto",Mr.
"Pears, Mr. Thomas Clinton",Mr.
"Burns, Miss. Elizabeth Margaret",Miss.
"Dahl, Mr. Karl Edwart",Mr.
"Blackwell, Mr. Stephen Weart",Mr.
"Fortune, Miss. Alice Elizabeth",Miss.
"Collander, Mr. Erik Gustaf",Mr.
"Sedgwick, Mr. Charles Frederick Waddington",Mr.
"Fox, Mr. Stanley Hubert",Mr.
"Brown, Miss. Amelia ""Mildred""",Miss.
"Smith, Miss. Marion Elsie",Miss.
"Davison, Mrs. Thomas Henry (Mary E Finck)",Mrs.
"Dimic, Mr. Jovan",Mr.
"Odahl, Mr. Nils Martin",Mr.
"Williams-Lambert, Mr. Fletcher Fellows",Mr.
"Elias, Mr. Tannous",Mr.
"Arnold-Franchi, Mr. Josef",Mr.
"Yousif, Mr. Wazli",Mr.
"Vanden Steen, Mr. Leo Peter",Mr.
"Bowerman, Miss. Elsie Edith",Miss.
"Funk, Miss. Annie Clemmer",Miss.
"McGovern, Miss. Mary",Miss.
"Mockler, Miss. Helen Mary ""Ellie""",Miss.
"Skoog, Mr. Wilhelm",Mr.
"del Carlo, Mr. Sebastiano",Mr.
"Barbara, Mrs. (Catherine David)",Mrs.
"Asim, Mr. Adola",Mr.
"O'Brien, Mr. Thomas",Mr.
"Adahl, Mr. Mauritz Nils Martin",Mr.
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",Mrs.
"Moussa, Mrs. (Mantoura Boulos)",Mrs.
"Jermyn, Miss. Annie",Miss.
"Harder, Mr. George Achilles",Mr.
"Wiklund, Mr. Jakob Alfred",Mr.
"Beavan, Mr. William Thomas",Mr.
"Ringhini, Mr. Sante",Mr.
"Palsson, Miss. Stina Viola",Miss.
"Meyer, Mrs. Edgar Joseph (Leila Saks)",Mrs.
"Landergren, Miss. Aurora Adelia",Miss.
"Widener, Mr. Harry Elkins",Mr.
"Betros, Mr. Tannous",Mr.
"Gustafsson, Mr. Karl Gideon",Mr.
"Bidois, Miss. Rosalie",Miss.
"Nakid, Miss. Maria (""Mary"")",Miss.
"Tikkanen, Mr. Juho",Mr.
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",Mrs.
"Plotcharsky, Mr. Vasil",Mr.
"Davies, Mr. Charles Henry",Mr.
"Buss, Miss. Kate",Miss.
"Sadlier, Mr. Matthew",Mr.
"Lehmann, Miss. Bertha",Miss.
"Carter, Mr. William Ernest",Mr.
"Jansson, Mr. Carl Olof",Mr.
"Gustafsson, Mr. Johan Birger",Mr.
"Newell, Miss. Marjorie",Miss.
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",Mrs.
"Johansson, Mr. Erik",Mr.
"Olsson, Miss. Elina",Miss.
"McKane, Mr. Peter David",Mr.
"Trout, Mrs. William H (Jessie L)",Mrs.
"Niskanen, Mr. Juha",Mr.
"Adams, Mr. John",Mr.
"Jussila, Miss. Mari Aina",Miss.
"Hakkarainen, Mr. Pekka Pietari",Mr.
"Oreskovic, Miss. Marija",Miss.
"Gale, Mr. Shadrach",Mr.
"Widegren, Mr. Carl/Charles Peter",Mr.
"Birkeland, Mr. Hans Martin Monsen",Mr.
"Lefebre, Miss. Ida",Miss.
"Sdycoff, Mr. Todor",Mr.
"Hart, Mr. Henry",Mr.
"Minahan, Miss. Daisy E",Miss.
"Cunningham, Mr. Alfred Fleming",Mr.
"Sundman, Mr. Johan Julian",Mr.
"Meek, Mrs. Thomas (Annie Louise Rowley)",Mrs.
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",Mrs.
"Silven, Miss. Lyyli Karoliina",Miss.
"Matthews, Mr. William John",Mr.
"Van Impe, Miss. Catharina",Miss.
"Gheorgheff, Mr. Stanio",Mr.
"Charters, Mr. David",Mr.
"Zimmerman, Mr. Leo",Mr.
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",Mrs.
"Rosblom, Mr. Viktor Richard",Mr.
"Wiseman, Mr. Phillippe",Mr.
"Clarke, Mrs. Charles V (Ada Maria Winfield)",Mrs.
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",Miss.
"Flynn, Mr. James",Mr.
"Pickard, Mr. Berk (Berk Trembisky)",Mr.
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",Mr.
"Thorneycroft, Mrs. Percival (Florence Kate White)",Mrs.
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",Mrs.
"Kallio, Mr. Nikolai Erland",Mr.
"Silvey, Mr. William Baird",Mr.
"Carter, Miss. Lucile Polk",Miss.
"Ford, Miss. Doolina Margaret ""Daisy""",Miss.
"Richards, Mrs. Sidney (Emily Hocking)",Mrs.
"Fortune, Mr. Mark",Mr.
"Kvillner, Mr. Johan Henrik Johannesson",Mr.
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",Mrs.
"Hampe, Mr. Leon",Mr.
"Petterson, Mr. Johan Emil",Mr.
"Reynaldo, Ms. Encarnacion",Ms.
"Johannesen-Bratthammer, Mr. Bernt",Mr.
"Mellinger, Miss. Madeleine Violet",Miss.
"Seward, Mr. Frederic Kimber",Mr.
"Baclini, Miss. Marie Catherine",Miss.
"West, Mr. Edwy Arthur",Mr.
"Hagland, Mr. Ingvald Olai Olsen",Mr.
"Foreman, Mr. Benjamin Laventall",Mr.
"Goldenberg, Mr. Samuel L",Mr.
"Peduzzi, Mr. Joseph",Mr.
"Jalsevac, Mr. Ivan",Mr.
"Millet, Mr. Francis Davis",Mr.
"Kenyon, Mrs. Frederick R (Marion)",Mrs.
"Toomey, Miss. Ellen",Miss.
"O'Connor, Mr. Maurice",Mr.
"Anderson, Mr. Harry",Mr.
"Morley, Mr. William",Mr.
"Gee, Mr. Arthur H",Mr.
"Milling, Mr. Jacob Christian",Mr.
"Maisner, Mr. Simon",Mr.
"Goncalves, Mr. Manuel Estanslas",Mr.
"Campbell, Mr. William",Mr.
"Smart, Mr. John Montgomery",Mr.
"Scanlan, Mr. James",Mr.
"Baclini, Miss. Helene Barbara",Miss.
"Keefe, Mr. Arthur",Mr.
"Cacic, Mr. Luka",Mr.
"West, Mrs. Edwy Arthur (Ada Mary Worth)",Mrs.
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",Mrs.
"Strandberg, Miss. Ida Sofia",Miss.
"Clifford, Mr. George Quincy",Mr.
"Renouf, Mr. Peter Henry",Mr.
"Braund, Mr. Lewis Richard",Mr.
"Karlsson, Mr. Nils August",Mr.
"Hirvonen, Miss. Hildur E",Miss.
"Frost, Mr. Anthony Wood ""Archie""",Mr.
"Rouse, Mr. Richard Henry",Mr.
"Turkula, Mrs. (Hedwig)",Mrs.
"Bishop, Mr. Dickinson H",Mr.
"Lefebre, Miss. Jeannie",Miss.
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",Mrs.
"Kent, Mr. Edward Austin",Mr.
"Somerton, Mr. Francis William",Mr.
"Hagland, Mr. Konrad Mathias Reiersen",Mr.
"Windelov, Mr. Einar",Mr.
"Molson, Mr. Harry Markland",Mr.
"Artagaveytia, Mr. Ramon",Mr.
"Stanley, Mr. Edward Roland",Mr.
"Yousseff, Mr. Gerious",Mr.
"Eustis, Miss. Elizabeth Mussey",Miss.
"Shellard, Mr. Frederick William",Mr.
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",Mrs.
"Svensson, Mr. Olof",Mr.
"Calic, Mr. Petar",Mr.
"Canavan, Miss. Mary",Miss.
"O'Sullivan, Miss. Bridget Mary",Miss.
"Laitinen, Miss. Kristina Sofia",Miss.
"Maioni, Miss. Roberta",Miss.
"Penasco y Castellana, Mr. Victor de Satode",Mr.
"Quick, Mrs. Frederick Charles (Jane Richards)",Mrs.
"Bradley, Mr. George (""George Arthur Brayton"")",Mr.
"Olsen, Mr. Henry Margido",Mr.
"Lang, Mr. Fang",Mr.
"Daly, Mr. Eugene Patrick",Mr.
"Webber, Mr. James",Mr.
"McGough, Mr. James Robert",Mr.
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",Mrs.
"Coleff, Mr. Satio",Mr.
"Walker, Mr. William Anderson",Mr.
"Lemore, Mrs. (Amelia Milley)",Mrs.
"Ryan, Mr. Patrick",Mr.
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",Mrs.
"Pavlovic, Mr. Stefo",Mr.
"Perreault, Miss. Anne",Miss.
"Vovk, Mr. Janko",Mr.
"Lahoud, Mr. Sarkis",Mr.
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Mrs.
"Kassem, Mr. Fared",Mr.
"Farrell, Mr. James",Mr.
"Ridsdale, Miss. Lucy",Miss.
"Farthing, Mr. John",Mr.
"Salonen, Mr. Johan Werner",Mr.
"Hocking, Mr. Richard George",Mr.
"Quick, Miss. Phyllis May",Miss.
"Toufik, Mr. Nakli",Mr.
"Elias, Mr. Joseph Jr",Mr.
"Peter, Mrs. Catherine (Catherine Rizk)",Mrs.
"Cacic, Miss. Marija",Miss.
"Hart, Miss. Eva Miriam",Miss.
"LeRoy, Miss. Bertha",Miss.
"Risien, Mr. Samuel Beard",Mr.
"Frolicher, Miss. Hedwig Margaritha",Miss.
"Crosby, Miss. Harriet R",Miss.
"Andersson, Miss. Ingeborg Constanzia",Miss.
"Andersson, Miss. Sigrid Elisabeth",Miss.
"Beane, Mr. Edward",Mr.
"Douglas, Mr. Walter Donald",Mr.
"Nicholson, Mr. Arthur Ernest",Mr.
"Beane, Mrs. Edward (Ethel Clarke)",Mrs.
"Padro y Manent, Mr. Julian",Mr.
"Goldsmith, Mr. Frank John",Mr.
"Thayer, Mr. John Borland Jr",Mr.
"Sharp, Mr. Percival James R",Mr.
"O'Brien, Mr. Timothy",Mr.
"Leeni, Mr. Fahim (""Philip Zenni"")",Mr.
"Ohman, Miss. Velin",Miss.
"Wright, Mr. George",Mr.
"Robbins, Mr. Victor",Mr.
"Taussig, Mrs. Emil (Tillie Mandelbaum)",Mrs.
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",Mrs.
"Morrow, Mr. Thomas Rowan",Mr.
"Sivic, Mr. Husein",Mr.
"Norman, Mr. Robert Douglas",Mr.
"Simmons, Mr. John",Mr.
"Meanwell, Miss. (Marion Ogden)",Miss.
"Davies, Mr. Alfred J",Mr.
"Stoytcheff, Mr. Ilia",Mr.
"Palsson, Mrs. Nils (Alma Cornelia Berglund)",Mrs.
"Doharr, Mr. Tannous",Mr.
"Jonsson, Mr. Carl",Mr.
"Harris, Mr. George",Mr.
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",Mrs.
"Flynn, Mr. John Irwin (""Irving"")",Mr.
"Kelly, Miss. Mary",Miss.
"Rush, Mr. Alfred George John",Mr.
"Patchett, Mr. George",Mr.
"Garside, Miss. Ethel",Miss.
"Silvey, Mrs. William Baird (Alice Munger)",Mrs.
"Caram, Mrs. Joseph (Maria Elias)",Mrs.
"Jussila, Mr. Eiriik",Mr.
"Christy, Miss. Julie Rachel",Miss.
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",Mrs.
"Downton, Mr. William James",Mr.
"Ross, Mr. John Hugo",Mr.
"Paulner, Mr. Uscher",Mr.
"Taussig, Miss. Ruth",Miss.
"Jarvis, Mr. John Denzil",Mr.
"Frolicher-Stehli, Mr. Maxmillian",Mr.
"Gilinski, Mr. Eliezer",Mr.
"Murdlin, Mr. Joseph",Mr.
"Rintamaki, Mr. Matti",Mr.
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Mrs.
"Elsbury, Mr. William James",Mr.
"Bourke, Miss. Mary",Miss.
"Chapman, Mr. John Henry",Mr.
"Van Impe, Mr. Jean Baptiste",Mr.
"Leitch, Miss. Jessie Wills",Miss.
"Johnson, Mr. Alfred",Mr.
"Boulos, Mr. Hanna",Mr.
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",Mrs.
"Slabenoff, Mr. Petco",Mr.
"Harrington, Mr. Charles H",Mr.
"Torber, Mr. Ernst William",Mr.
"Homer, Mr. Harry (""Mr E Haven"")",Mr.
"Lindell, Mr. Edvard Bengtsson",Mr.
"Karaic, Mr. Milan",Mr.
"Daniel, Mr. Robert Williams",Mr.
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",Mrs.
"Shutes, Miss. Elizabeth W",Miss.
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",Mrs.
"Jardin, Mr. Jose Neto",Mr.
"Murphy, Miss. Margaret Jane",Miss.
"Horgan, Mr. John",Mr.
"Brocklebank, Mr. William Alfred",Mr.
"Herman, Miss. Alice",Miss.
"Danbom, Mr. Ernst Gilbert",Mr.
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",Mrs.
"Becker, Miss. Marion Louise",Miss.
"Gavey, Mr. Lawrence",Mr.
"Yasbeck, Mr. Antoni",Mr.
